,GSM21203,GSM21204,GSM21205,GSM21206,GSM21207,GSM21208,GSM21209,GSM21210,GSM21211,GSM21212,GSM21213,GSM21214,GSM21215,GSM21216,GSM21217,GSM21218,GSM21219,GSM21220,GSM21221,GSM21222,GSM21223,GSM21224,GSM21225,GSM21226,GSM21227,GSM21228,GSM21229,GSM21230,GSM21231,GSM21232,GSM21233
ARF3,9.8993954907696,11.1836169849644,10.1263930719257,10.8720428738764,9.64949302362726,11.0115529357831,11.167357574425,11.4893904086246,11.2186186832749,9.98900023202331,10.0189281707146,11.2641713580359,11.6095233481856,11.7672081404836,11.5339545010733,11.4370890150792,11.3942646073107,11.361379196985,11.7867241411891,11.4000848686657,11.206127106407,10.7640194892281,11.0628833116384,10.2079989745292,10.7816950936257,10.6544893971971,11.1935601046842,10.6557301081095,11.4743793506681,11.0406212767639,11.5761226987739
RPL21P28,9.15759992823601,10.3709225811813,11.1453878767779,10.2852644761616,11.2362895517223,10.6265307408792,10.396402632293,10.291429390073,9.89840104471116,10.5151816528416,9.6058732482827,9.77448637907534,9.33559308397972,10.2722973547626,10.4030965744638,8.07880324092272,10.3603085918962,10.1474678917772,9.87191591850138,9.48551074982183,10.6434009096572,10.5103882353119,10.0618577786963,9.46637410572987,10.7754139955245,10.6077597457397,10.5432910106228,10.4699980685952,9.56549822866778,9.47081585412777,10.5044159718081
RPL24,12.7007984779386,12.8250556247951,12.415650427117,12.8771823117382,12.5963347235166,12.4925707471733,12.6451421972377,12.814307754938,12.976286494396,12.3576486908809,12.7062681449283,12.9109813485206,12.7065688920921,12.8520696768458,13.0126404314533,12.7692163627658,12.776479711507,12.9372963495607,12.7573454130896,12.6122678772043,12.614446473283,12.9874290411087,12.9197700742552,12.7698954587628,13.1557933103552,12.7732746099309,12.9070885762672,12.7876581506441,12.7962305135587,12.7864179639498,12.7107132587162
HNRNPC,10.2407608742682,10.0122738042879,9.71614118308151,11.2895036116984,9.65539754394802,9.51819233678618,10.4069553647658,10.3903526526604,10.5640206262303,10.4303927257785,10.063424575857,10.1968032910344,9.85886620607128,10.5998231337903,10.0411146439973,10.7652534952256,10.7391133252922,11.0539647515599,10.5770773807071,10.6714032569898,10.842501035556,10.825952186056,10.6590021691956,10.690622676768,10.9687048169097,10.9234252691778,10.2826633867067,10.7432655844709,10.7620073003017,10.6353575722469,10.4013148415305
SEPT2,10.5959872131123,10.7864460736405,10.819563421541,11.3070117556928,11.082320300665,10.3506842257147,10.9940991645417,11.2312576427374,10.7905386451482,11.3394033805137,11.2074080918142,10.7036509067754,10.5238774339881,11.1575571989196,10.3038862090803,10.85595287901,11.0709213232078,11.1987344432685,11.1366302331378,11.4637431121228,11.3560962422277,12.0507853964796,11.4843220741322,10.8890727630401,11.3041565808426,11.7226888069343,11.7450513366008,11.3430930221195,11.5664650464828,11.0803888897589,10.5929264326275
HNRNPA1P10,12.8203784363237,13.1963408564278,13.2188810420969,12.9124777203211,14.0204765046356,12.4291451704787,13.4608142217603,13.3387503081345,13.4288573875538,13.1800489997755,13.0960727157319,12.8588163659252,13.5372548072556,13.1065629404449,13.6270322281922,13.4870863402713,13.0200771042281,13.2203783276952,13.1805618861791,13.189098705649,13.088854476638,13.8214750500965,13.5096513111781,13.1529344159162,13.8073750488012,13.5058859688698,13.9226773089854,13.6921577765854,12.8740976375994,13.2860812123701,12.9479656158347
RPS27A,12.604692210346,12.6452981639486,12.6772131121634,13.0202507701656,13.1736302947949,12.2992366430049,12.8561920639368,12.894287263195,12.7694659670864,12.8759604808009,12.4591241934756,12.6650027440862,13.0430614702758,13.1625644166003,12.8899982128341,12.9162900254973,12.9131699161228,13.5991806188095,12.9808000664808,13.3346084969512,13.6226810304748,13.6582003232482,13.0899138699875,12.3733273882822,13.3294319752838,12.7817695118631,13.2694627622241,13.9581448608205,12.637417341258,13.5145784561271,12.4999455172784
LOC100508408,13.0507669543787,12.9333402646836,12.9627333677214,13.5332323811778,12.9416528829172,12.7128493783878,12.5851033820299,12.6133981252539,12.644104131678,12.6913509550242,12.9366563406077,12.49815112023,12.9452243427485,12.7980667203631,12.5409029520106,12.6914600113358,12.892979126073,13.205548911173,12.975740514027,12.9879390069943,12.7267503423922,13.2174730841407,13.1379357295784,13.0361564375103,13.2058848655635,13.0856550252346,13.157599574369,13.3372455703967,13.1457411320672,12.7819948513422,12.800717934194
FAU,12.9481116708616,12.6304946615056,12.4745171641745,12.5176201821432,12.7507488514051,12.5512997125113,12.9093118395372,12.8004752775182,12.7185542808814,12.5190956323034,12.5829652028171,12.6835648795714,12.42697229858,12.7927496315228,12.7395063872874,12.3996784691529,12.8437640574328,12.8347080559877,12.5981688418447,12.3857276134184,12.2468890162743,12.7064528488025,12.9377783949089,12.9290919342201,13.0194517337009,12.7323794463914,12.7476475420239,12.4551730779848,12.8157035033481,12.5625047952934,12.4906252813516
TARDBP,9.79851521762663,10.0188944885769,9.65885062554721,10.4317188657471,9.81076414633971,9.82695444511739,9.82628960182463,9.98309877457095,9.76032391807809,9.96460375729546,10.0359588709309,9.6933123190501,9.59390886327158,9.90116324638926,9.5267451872759,9.96269097237672,9.89909818719943,9.90169371582338,9.5451751794491,9.77845829635272,9.88446470896275,9.72397938414191,10.1425753997982,9.95306898417499,10.0870319615797,10.0906582175248,9.81538358015805,9.66697602751815,9.92136670356597,9.79336897823432,9.73713291250318
CFL1,15.0730787902213,14.1573627265969,14.8963465961444,14.0525765412161,15.2229684383823,14.7098592466141,14.6291801432736,14.810677061693,14.5542650722786,14.3460912231585,14.7613590403645,14.4210062789269,14.1803520910518,14.3954872765662,14.778256839037,14.1746760596882,14.3365972135529,14.4147645025879,14.2722579835999,14.2113179766898,14.3131239514251,14.3218365146588,14.1750660763545,14.530644084186,14.5129441143101,14.4765437062143,14.1988440295849,14.630562915452,14.6548933100671,14.5702826587828,14.4547619512649
RPL18,9.81316585463243,9.97022787432891,10.8015797673137,9.73004034895883,10.8887632824915,9.42868883002816,10.4385808747867,9.84927429020975,10.2953106884174,9.97223988409473,9.89583838207337,9.6777970460969,9.15040809141707,9.58420534015142,9.7459604089347,9.57582534950045,9.92453615226485,9.75668233718505,9.49307304859396,9.68704163198936,9.90699073132711,9.77958600424211,9.65394236562987,9.74020151827059,10.1123590320254,9.99126263939123,9.79778443356775,10.3069257510004,9.81539634611074,10.352049019948,9.82267625294965
EIF3F,8.08105461487473,8.05072790827313,8.51681920228523,7.02927324939318,6.8253222649757,6.6676253841564,7.27308550113368,8.04740121985306,6.80408986389645,8.0384891959967,7.5198770028136,6.63644244367622,7.21268729551311,6.68516593253608,8.00596576221725,6.37754393128055,7.63219930747559,7.78295266792535,7.66922961798092,6.51616839287578,8.52734878901244,8.40167135726141,6.7721393258489,7.94881048130088,8.18527678905211,6.8022650321164,6.9962355240838,6.08055649146274,8.48763963323205,7.07381870708946,6.46903995658824
RPS5,10.389846410078,10.7824249471818,12.0275259262651,12.2394493595193,11.8081597728684,10.348064184729,11.7537599561577,11.5882461520448,11.9247382889891,11.6246127090057,11.0222290856818,11.4696418172395,10.573836505129,11.7950655826596,10.4821020632176,11.4303480047586,11.3785116232537,12.1632093793112,11.6584346546976,11.9106802025814,11.8590688246924,11.9584077136679,11.6687520516949,11.8730980087601,12.0604932917489,12.1273172944976,11.9839911413154,12.1565571532,12.1854329780531,11.7139449248864,11.4192228460108
RPL27,13.3743059473677,13.6005633955712,13.4152135987653,13.3955073591366,13.3458626005841,13.3307768582144,13.2616101453056,13.4260419375719,13.5464845451126,13.2879143427181,13.5952691386017,13.3500551772045,13.2100168083391,13.2496912448296,13.6682756093719,13.2230061607322,13.5054890447738,13.4412713017249,13.2549990544791,13.2154723300494,13.2721631953731,13.4666245711801,13.4278758777436,13.3477597632194,13.725951994167,13.5655067380344,13.2199247688628,13.5511915477902,13.1419953398656,13.50512923796,13.343796427025
RPL34,12.9652251319909,13.6786441498693,12.4709892632093,13.7095685076803,12.8819551600019,12.6014458204953,12.6309723713334,13.1939718985213,13.5408061105915,12.326682273685,12.7669843374371,12.9602191890583,13.4625406144436,13.2245142465035,12.8234468567809,13.7620497736143,13.0427024697127,13.5688824101487,13.3200953848611,13.5728541499529,12.7488637145357,13.5641494899857,13.9273798329311,13.4758220769902,13.7994334122571,13.3803934202623,13.4944181106294,13.6734305466071,13.8701720391102,13.1078709142796,12.6904563821761
NARS,12.2821617665818,12.6264847677773,11.4570730165595,12.2049989988199,11.4867344818201,12.3465137331656,12.3169320122556,12.4644946986508,12.3055202923239,12.1805929643442,11.9298131846641,12.635876798991,12.756702252503,12.4201444519417,12.8845139770415,12.4080643199147,12.5488219084588,12.5685974474218,12.663602576252,12.3648459756578,12.182114974906,12.3105559815241,12.2240921413683,12.3604630457964,12.2312211807112,12.2473638505957,12.433194201815,12.2627115009369,12.304665040921,12.2711420042162,12.7116884804857
STARD7,12.3029815660029,11.7128278887656,11.2665523179424,12.9224357402331,11.0023931132672,12.1519044683427,11.5172756932096,11.914497254356,11.8819933846834,12.0765818080793,11.700092874759,11.7373318569577,11.5022351148568,12.0163904583529,11.9322516679505,11.7878209566854,12.1856807467267,11.9603278052858,11.6279897843157,11.9400566056757,11.8854675980596,12.0893842705539,11.4642904738508,12.3389591754152,11.6425030287805,12.0376499018856,11.9397261207901,12.4176679477937,11.7001362347422,11.6576757291871,11.5397404257262
RPL19,12.5239294436517,12.6222806552156,11.9976381906753,12.9289994401318,12.2882316563,12.2195013185983,12.2526358687244,12.4656174185836,12.492178667847,11.9590238705363,12.2209526309278,12.126317293423,12.3685610253412,12.5231453569239,12.0820824948449,12.3879903691418,12.4581246090339,12.8221923825626,12.3778612234948,12.3799468848418,12.1596190953159,12.7480879987561,13.0336638894717,12.754261196514,12.9606536049125,12.5500252574658,13.0498655622635,12.5141715856076,12.4169822060795,12.2109452472211,12.2355954385421
SLC25A3,11.0238236453453,11.5446264124277,11.2866732649939,11.8533095554037,10.5722265127937,11.759680167211,11.2572699706356,11.8643022366872,11.3427413991398,11.3077700318907,11.5488700616952,11.6413744242945,12.9279631010035,12.184627435864,11.6581222043062,12.3544422427223,11.4103453450349,11.949389022014,12.6015386759398,12.1801888959693,11.525031345124,11.9135252390027,12.004185346732,11.5629101840297,11.3056057895854,11.6768826710132,12.5609776034569,11.7557221536423,12.3312248740683,11.3838662626152,11.8807696922595
SNORD35B,13.148540135626,13.329165651854,12.9440165305045,13.6370210353481,13.3111664658174,12.9131699161228,13.102877893637,13.4882543975041,13.5179891861713,13.1561937081695,13.2468890162743,13.1933559478492,12.9515579267926,13.2720319398536,13.2869619830082,13.1710829506029,13.4666882913634,13.6693058566201,13.2858212100592,13.2599933013176,13.2847084486922,13.7320295954794,13.5220297493656,13.2924941936588,13.76741893089,13.677047901049,13.4730334513208,13.7967798346597,13.5348013676057,13.4870235146985,13.3792294325311
RPL9,13.6390354038884,13.703449416299,13.7437509895766,13.9222405974769,13.4958175602898,13.3966984248905,13.2728047171805,13.609005548925,13.7608134909413,13.5625286448432,13.5393769440683,13.5241988750741,13.5073115140991,13.5481957700834,13.5540011982909,13.5299551195156,13.6353780358504,13.9300535213729,13.5260101070617,13.6164799235799,13.9051237154762,14.1079526232843,13.5011903145401,13.4992977979903,14.2816330561483,14.0445734204548,13.920948272279,14.1278170352241,13.862831046898,14.0045101702885,13.6443632981151
